Gene,ExAC No. PP2>.95 Missense,ExAC No.Frameshift,ExAC No.StopGain,ExAC No.StartLost,ExAC No.SpliceSite
A3GALT2,39(11)[1042],10(8)[1813],4(3)[66],0(0)[0],5(4)[6]
AADACL3,25(12)[8821],14(8)[92],6(1)[11],0(0)[0],0(0)[0]
AADACL4,46(23)[430],5(3)[7],4(3)[6],1(1)[1],2(0)[26]
ABCA4,235(115)[2715],23(18)[43],29(16)[58],3(1)[6],31(25)[46]
ABCB10,49(29)[230],7(5)[15],9(8)[12],0(0)[0],2(2)[2]
ABCD3,36(24)[64],1(1)[1],3(2)[4],2(2)[2],3(3)[3]
ABL2,98(59)[1763],9(7)[19],9(7)[11],0(0)[0],4(3)[41]
ACADM,36(20)[116],15(7)[55],9(6)[12],1(1)[1],7(4)[10]
ACAP3,83(53)[1376],2(2)[2],5(4)[6],0(0)[0],3(2)[5]
ACBD3,10(7)[29],6(4)[37],1(1)[1],0(0)[0],1(0)[3]
ACBD6,32(26)[48],3(3)[3],2(1)[4],2(1)[3],2(2)[2]
ACOT11,93(38)[9910],12(8)[26],16(6)[52],0(0)[0],6(4)[16]
ACOT7,16(10)[22],4(4)[4],3(2)[4],2(2)[2],1(1)[1]
ACP6,29(17)[1491],7(5)[23],6(3)[11],1(1)[1],3(2)[4]
ACTA1,7(5)[12],3(1)[8],4(3)[6],0(0)[0],1(1)[1]
ACTL8,15(12)[37],7(7)[7],2(2)[2],0(0)[0],1(1)[1]
ACTN2,79(41)[280],1(1)[1],2(1)[5],1(0)[15],0(0)[0]
ACTRT2,95(50)[21527],5(3)[12],3(2)[4],0(0)[0],0(0)[0]
ADAM15,91(51)[1210],8(7)[9],18(9)[61],0(0)[0],11(8)[20]
ADAM30,63(32)[806],18(11)[36],7(2)[16],0(0)[0],0(0)[0]
ADAMTS4,81(45)[425],10(8)[12],8(5)[23],1(1)[1],1(1)[1]
ADAMTSL4,189(88)[3698],30(22)[261],21(12)[38],0(0)[0],9(5)[13]
ADAR,127(75)[610],3(2)[4],4(4)[4],0(0)[0],2(1)[4]
ADC,44(21)[256],5(1)[15],6(4)[8],1(1)[1],1(1)[1]
ADCK3,71(36)[252],19(12)[36],9(6)[13],5(5)[5],4(3)[5]
ADCY10,92(50)[298],29(21)[99],26(19)[48],1(0)[2],21(15)[29]
ADIPOR1,10(10)[10],0(0)[0],1(1)[1],0(0)[0],1(1)[1]
ADORA1,13(10)[96],4(4)[4],3(3)[3],0(0)[0],0(0)[0]
ADORA3,45(28)[135],8(7)[46],7(4)[24],1(1)[1],2(0)[7]
ADPRHL2,28(17)[126],2(2)[2],5(5)[5],0(0)[0],3(3)[3]
ADSS,15(13)[25],0(0)[0],1(1)[1],0(0)[0],2(2)[2]
AGBL4,37(21)[110],3(3)[3],5(3)[11],0(0)[0],4(3)[12]
AGL,171(102)[10187],28(23)[43],23(14)[50],1(1)[1],14(11)[22]
AGMAT,56(24)[280],8(7)[9],1(1)[1],0(0)[0],4(3)[39]
AGO1,16(14)[21],1(1)[1],0(0)[0],1(1)[1],0(0)[0]
AGO3,23(19)[32],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
AGO4,28(19)[46],4(3)[5],3(3)[3],0(0)[0],3(2)[4]
AGRN,198(94)[5925],14(10)[256],3(1)[5],0(0)[0],10(5)[16]
AGT,43(18)[15382],1(0)[3],10(7)[14],0(0)[0],2(0)[6]
AGTRAP,26(17)[116],3(1)[10],10(5)[24],0(0)[0],0(0)[0]
AHCTF1,149(95)[751],4(4)[4],1(1)[1],0(0)[0],3(0)[828]
AHCYL1,12(9)[19],1(1)[1],1(1)[1],0(0)[0],0(0)[0]
AHDC1,83(51)[804],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
AIDA,11(8)[29],4(3)[5],2(2)[2],0(0)[0],3(3)[3]
AIM2,18(9)[88],9(3)[4847],5(1)[14],0(0)[0],6(2)[25]
AJAP1,24(13)[60507],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
AK2,16(10)[51],1(1)[1],3(1)[11],0(0)[0],5(4)[6]
AK4,7(4)[39],2(2)[2],0(0)[0],0(0)[0],2(2)[2]
AK5,35(24)[57],1(0)[2],4(3)[6],0(0)[0],2(2)[2]
AKIRIN1,9(5)[17],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
AKNAD1,34(22)[82],13(7)[32],12(8)[16],0(0)[0],17(10)[38]
AKR1A1,38(21)[5539],9(6)[56],5(3)[8],1(1)[1],3(2)[4]
AKR7A2,54(27)[324],4(2)[8],7(6)[9],0(0)[0],2(2)[2]
AKR7A3,41(16)[694],8(4)[20],6(1)[24],0(0)[0],7(4)[20]
AKT3,7(6)[14],2(0)[6],1(0)[3],0(0)[0],1(0)[13]
ALDH4A1,91(43)[2469],13(11)[18],5(4)[6],1(0)[4],4(2)[8]
ALDH9A1,71(42)[3486],5(3)[7],7(3)[20],3(2)[4],4(1)[35]
ALG14,21(10)[79],0(0)[0],4(2)[11],0(0)[0],2(1)[8]
ALG6,34(23)[90],8(7)[9],4(3)[6],1(0)[3],3(2)[4]
ALPL,35(24)[59],16(12)[55],8(5)[11],3(0)[8],1(1)[1]
ALX3,52(28)[216],2(2)[2],2(2)[2],0(0)[0],0(0)[0]
AMIGO1,9(6)[17],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
AMPD1,108(60)[14765],9(6)[211],12(6)[10593],1(0)[2],11(6)[76]
AMPD2,65(47)[99],3(1)[6],7(5)[10],4(2)[7],3(3)[3]
AMY1A,1(0)[222],2(1)[4],0(0)[0],0(0)[0],1(0)[2]
AMY1B,0(0)[0],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
AMY1C,1(0)[2],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
AMY2A,18(13)[101],3(2)[4],3(0)[6],0(0)[0],2(2)[2]
AMY2B,63(34)[5114],4(2)[7],6(2)[14],0(0)[0],10(6)[51]
ANGEL2,33(23)[70],5(2)[10],5(3)[7],0(0)[0],1(1)[1]
ANGPTL1,55(24)[176],10(8)[37],10(7)[13],2(2)[2],2(2)[2]
ANGPTL3,52(33)[207],10(5)[74],8(5)[14],0(0)[0],5(4)[7]
ANGPTL7,45(23)[987],5(4)[7],9(5)[74],0(0)[0],3(3)[3]
ANKRD13C,17(14)[22],2(2)[2],0(0)[0],0(0)[0],1(1)[1]
ANKRD34A,14(12)[17],2(1)[4],0(0)[0],1(1)[1],0(0)[0]
ANKRD35,41(21)[62360],35(24)[144],17(9)[327],0(0)[0],9(5)[42]
ANKRD45,17(10)[244],4(2)[7],3(3)[3],1(0)[2],1(1)[1]
ANKRD65,3(3)[3],1(1)[1],3(2)[7],0(0)[0],1(1)[1]
ANP32E,5(5)[5],1(1)[1],3(2)[21],0(0)[0],1(0)[82]
ANXA9,31(14)[15151],8(5)[20],13(4)[43],1(0)[2983],8(4)[12]
AP4B1,88(51)[418],14(11)[38],15(7)[44],0(0)[0],2(1)[206]
APCS,22(12)[74],6(4)[41],2(1)[5],0(0)[0],1(1)[1]
APH1A,13(11)[181],0(0)[0],1(1)[1],0(0)[0],3(2)[482]
APITD1,36(22)[82],5(1)[51],5(2)[17],0(0)[0],3(0)[11]
APITD1-CORT,20(11)[54],2(1)[20],2(1)[6],0(0)[0],2(0)[8]
APOA1BP,31(17)[107],8(7)[9],13(8)[47],2(1)[3],3(1)[5]
APOA2,3(1)[53],0(0)[0],4(3)[5],0(0)[0],1(1)[1]
APOBEC4,30(18)[75],10(8)[20],5(5)[5],0(0)[0],0(0)[0]
AQP10,18(12)[28],5(5)[5],3(1)[8],1(1)[1],1(1)[1]
ARF1,0(0)[0],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
ARHGAP29,85(57)[407],4(3)[7],3(3)[3],3(1)[21],1(1)[1]
ARHGAP30,90(60)[2467],5(4)[6],4(3)[6],0(0)[0],0(0)[0]
ARHGEF10L,123(53)[12204],7(7)[7],5(3)[12],1(0)[30],6(6)[6]
ARHGEF11,148(84)[428],3(2)[5],1(1)[1],0(0)[0],8(7)[9]
ARHGEF16,72(34)[817],7(1)[20],7(5)[25],1(0)[7],6(5)[10]
ARHGEF19,66(34)[8954],8(5)[17],12(7)[22],0(0)[0],5(3)[7]
ARHGEF2,54(30)[99],0(0)[0],2(2)[2],2(1)[6],1(1)[1]
ARID1A,81(50)[214],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
ARID4B,88(60)[213],0(0)[0],2(1)[3],0(0)[0],4(2)[9]
ARL8A,5(5)[5],0(0)[0],1(1)[1],0(0)[0],1(1)[1]
ARNT,38(21)[93],0(0)[0],4(4)[4],2(2)[2],2(0)[12]
ARPC5,4(1)[7],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
ARTN,2(1)[3],4(4)[4],1(1)[1],1(1)[1],0(0)[0]
ARV1,45(31)[1108],6(3)[450],5(5)[5],1(1)[1],5(2)[8]
ASAP3,73(42)[430],5(5)[5],15(10)[19],1(0)[2],8(7)[9]
ASB17,2(1)[3],3(2)[10],3(2)[4],2(1)[3],1(0)[54]
ASCL5,0(0)[0],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
ASH1L,164(114)[406],3(2)[9],3(2)[12],1(1)[1],0(0)[0]
ASPM,196(120)[43071],53(35)[125],52(32)[384],3(1)[5],11(8)[27]
ASTN1,169(107)[701],2(2)[2],3(3)[3],0(0)[0],2(2)[2]
ATAD3A,68(33)[1044],4(4)[4],5(2)[10],3(2)[4],3(1)[3]
ATAD3B,77(37)[26133],20(13)[40],15(11)[20],0(0)[0],7(5)[17]
ATAD3C,48(14)[29277],16(12)[31],7(6)[9],3(2)[34],3(0)[6]
ATF3,15(9)[61],1(1)[1],5(5)[5],2(2)[2],0(0)[0]
ATF6,50(33)[83],3(3)[3],8(6)[10],1(1)[1],4(4)[4]
ATG4C,39(20)[176],16(10)[317],10(5)[64],0(0)[0],5(4)[6]
ATP13A2,104(58)[563],8(5)[24],7(5)[11],0(0)[0],7(6)[12]
ATP1A1,15(13)[24],2(2)[2],3(3)[3],0(0)[0],3(2)[4]
ATP1A2,45(33)[63],3(3)[3],3(3)[3],0(0)[0],5(5)[5]
ATP1A4,163(83)[1759],15(9)[81],16(3)[129],1(0)[2],10(7)[24]
ATP1B1,16(12)[27],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
ATP2B4,154(96)[2009],6(5)[12],8(7)[9],0(0)[0],4(4)[4]
ATP5F1,22(12)[49],1(1)[1],2(2)[2],0(0)[0],4(2)[6]
ATP6V0B,12(9)[15],1(1)[1],0(0)[0],1(1)[1],0(0)[0]
ATP6V1G3,8(6)[17],2(1)[3],4(3)[750],0(0)[0],2(2)[2]
ATP8B2,69(51)[615],3(3)[3],5(5)[5],0(0)[0],0(0)[0]
ATPAF1,20(13)[54],3(3)[3],4(2)[16],2(1)[1018],2(1)[23]
ATPIF1,10(9)[12],2(1)[6],2(1)[19],1(1)[1],1(1)[1]
ATXN7L2,101(61)[481],1(1)[1],2(2)[2],0(0)[0],1(1)[1]
AUNIP,15(7)[32],17(8)[609],9(6)[25],1(1)[1],1(0)[14]
AURKAIP1,30(21)[98],5(4)[6],3(2)[4],0(0)[0],1(0)[2]
AVPR1B,62(30)[408],11(8)[26],6(4)[9],0(0)[0],1(1)[1]
AXDND1,77(40)[2225],20(11)[137],20(14)[1114],3(1)[12],16(13)[49]
B3GALNT2,57(35)[194],5(2)[35],6(3)[10],1(1)[1],5(1)[20]
B3GALT2,20(15)[35],1(1)[1],2(1)[3],0(0)[0],0(0)[0]
B3GALT6,20(15)[73],2(1)[3],2(2)[2],0(0)[0],0(0)[0]
B4GALT2,53(27)[7973],3(3)[3],2(2)[2],1(1)[1],1(1)[1]
B4GALT3,28(18)[48],3(2)[4],5(3)[9],0(0)[0],1(1)[1]
BAI2,91(57)[260],3(2)[4],3(3)[3],1(1)[1],4(3)[5]
BARHL2,8(4)[31],2(1)[8],2(2)[2],1(1)[1],0(0)[0]
BATF3,8(3)[18],0(0)[0],2(1)[11],0(0)[0],0(0)[0]
BCAN,99(62)[2519],10(8)[18],7(5)[9],0(0)[0],5(4)[7]
BCAR3,78(36)[1824],16(12)[30],4(1)[7],2(1)[3],1(1)[1]
BCAS2,5(4)[7],2(1)[4],5(4)[6],1(1)[1],3(3)[3]
BCL10,0(0)[0],1(1)[1],3(1)[9],0(0)[0],0(0)[0]
BCL2L15,14(7)[26],3(3)[3],4(3)[44],0(0)[0],0(0)[0]
BCL9,145(76)[38922],2(1)[7],4(2)[6],1(0)[3],1(1)[1]
BEND5,33(26)[83],5(3)[127],4(4)[4],0(0)[0],1(1)[1]
BEST4,25(13)[60],4(1)[12],6(4)[14],1(1)[1],0(0)[0]
BGLAP,40(19)[408],14(9)[67],17(9)[153],1(1)[1],7(7)[7]
BLZF1,24(17)[206],9(7)[13],10(5)[34],1(1)[1],0(0)[0]
BMP8A,26(13)[112],3(2)[4],1(1)[1],0(0)[0],1(0)[2]
BMP8B,26(13)[1562],3(3)[3],2(1)[7],0(0)[0],0(0)[0]
BNIPL,32(19)[1108],7(4)[28],8(4)[37],1(1)[1],7(4)[25]
BOLA1,17(11)[222],3(3)[3],0(0)[0],1(1)[1],0(0)[0]
BPNT1,32(18)[144],4(3)[5],3(3)[3],2(2)[2],5(3)[7]
BRDT,63(41)[13305],8(4)[16],7(5)[9],2(2)[2],8(6)[17]
BRINP2,80(50)[401],2(2)[2],0(0)[0],1(1)[1],0(0)[0]
BRINP3,34(23)[68],2(2)[2],7(6)[8],0(0)[0],2(2)[2]
BROX,35(21)[178],4(4)[4],7(4)[62],0(0)[0],6(5)[8]
BSDC1,37(23)[78],3(3)[3],2(2)[2],0(0)[0],4(3)[23]
BSND,36(21)[185],6(4)[11],7(3)[39],1(0)[5],2(1)[4]
BTBD8,25(16)[43],9(5)[13],6(5)[7],2(2)[2],4(3)[8]
BTF3L4,1(0)[3],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
BTG2,5(3)[7],0(0)[0],2(1)[3],1(1)[1],0(0)[0]
C1QA,14(6)[35],3(2)[6],2(1)[8],0(0)[0],1(0)[2]
C1QB,18(10)[86],1(1)[1],2(1)[4],0(0)[0],0(0)[0]
C1QC,18(9)[42],2(1)[3],3(3)[3],0(0)[0],0(0)[0]
C1orf100,23(12)[521],0(0)[0],9(1)[32],1(1)[1],3(2)[5]
C1orf101,63(42)[604],11(8)[47],5(5)[5],1(0)[0],12(7)[56]
C1orf105,9(6)[23],4(2)[12],2(2)[2],1(1)[1],5(4)[7274]
C1orf106,60(30)[2118],3(2)[4],3(1)[8],0(0)[0],0(0)[0]
C1orf109,8(6)[250],3(2)[5],9(4)[20],1(0)[2],2(0)[45]
C1orf110,13(8)[22],4(2)[8],6(2)[51],2(1)[18],1(1)[1]
C1orf111,27(11)[129],5(3)[15],7(5)[12],0(0)[0],0(0)[0]
C1orf112,63(42)[9215],11(5)[35],12(9)[27],1(1)[1],5(3)[19]
C1orf115,12(5)[118],2(1)[1],1(1)[1],0(0)[0],0(0)[0]
C1orf116,60(31)[1959],11(7)[678],2(2)[2],2(1)[4],1(1)[1]
C1orf122,3(1)[20],3(0)[57],1(0)[3],0(0)[0],0(0)[0]
C1orf123,21(11)[56],5(3)[27],5(3)[8],2(2)[2],7(5)[18]
C1orf127,58(35)[153],8(3)[145],13(7)[172],0(0)[0],4(3)[3588]
C1orf131,36(18)[12979],2(2)[2],8(6)[13],0(0)[0],1(1)[1]
C1orf137,0(0)[0],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
C1orf141,19(11)[77],13(5)[728],6(5)[12],0(0)[0],3(3)[3]
C1orf146,21(13)[500],7(7)[7],2(1)[3],0(0)[0],2(1)[3]
C1orf158,26(16)[1784],2(1)[13],7(3)[42],1(1)[1],3(2)[4]
C1orf159,24(12)[167],0(0)[0],2(0)[26],0(0)[0],2(1)[4]
C1orf162,5(2)[28680],4(2)[165],0(0)[0],0(0)[0],4(2)[11]
C1orf168,69(41)[6412],20(11)[40],24(16)[374],0(0)[0],17(13)[127]
C1orf172,58(28)[1612],2(2)[2],3(3)[3],0(0)[0],0(0)[0]
C1orf173,93(56)[706],27(16)[106],33(20)[77],1(0)[4],11(6)[60]
C1orf174,28(16)[278],8(7)[11],5(1)[21],1(1)[1],0(0)[0]
C1orf177,53(24)[67593],9(4)[1315],14(7)[254],1(1)[1],4(4)[4]
C1orf185,3(2)[6],0(0)[0],4(1)[125],0(0)[0],0(0)[0]
C1orf186,8(6)[18],6(3)[64],3(2)[4],0(0)[0],2(1)[4]
C1orf189,5(1)[135],4(0)[1049],2(2)[2],1(1)[1],4(1)[13]
C1orf192,13(6)[165],2(2)[2],5(2)[8],0(0)[0],3(0)[29]
C1orf194,14(4)[544],4(1)[10],4(1)[354],0(0)[0],7(2)[72]
C1orf195,0(0)[0],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
C1orf198,36(20)[188],5(4)[13],4(4)[4],3(3)[3],0(0)[0]
C1orf204,6(5)[15],2(1)[5],1(0)[2],0(0)[0],1(0)[119]
C1orf21,0(0)[0],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
C1orf210,14(10)[85],2(2)[2],4(2)[8],1(0)[2],0(0)[0]
C1orf216,29(19)[99],1(0)[2],3(1)[136],0(0)[0],0(0)[0]
C1orf226,24(15)[269],0(0)[0],1(1)[1],1(1)[1],0(0)[0]
C1orf227,0(0)[0],2(1)[4],2(1)[1052],0(0)[0],0(0)[0]
C1orf228,13(7)[255],1(0)[5],4(4)[4],0(0)[0],3(2)[5]
C1orf229,3(1)[15],2(1)[3],0(0)[0],0(0)[0],0(0)[0]
C1orf233,2(1)[7],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
C1orf234,0(0)[0],1(1)[1],1(1)[1],0(0)[0],0(0)[0]
C1orf27,23(13)[1982],4(4)[4],6(6)[6],0(0)[0],6(4)[8]
C1orf35,18(11)[903],10(9)[11],0(0)[0],0(0)[0],3(3)[3]
C1orf43,15(9)[52],3(2)[4],1(1)[1],1(1)[1],3(1)[5]
C1orf50,20(13)[277],6(3)[35],3(1)[15],1(0)[23],1(1)[1]
C1orf51,24(17)[41],5(2)[9],1(1)[1],2(0)[4],0(0)[0]
