#dragendb_gene	uptodate_gene
RP11-426L16.8	LINC01356
RP5-1022P6.3	EIF4EP1
RP11-479O17.7	DPY19L2P5
RP11-1109M24.16	LINC02002
AC006045.3	GTF3AP5
BAATP1	ACNATP
PNMAL1	PNMA8A
RP11-20B7.1	LINC02005
RP11-503N18.1	CFAP99
AC009302.4	RPL23AP28
RP11-511B23.1	LINC02413
RP11-80K21.3	LINC01516
SPTY2D1-AS1	SPTY2D1OS
TMPRSS4-AS1	SMIM35
TCEB1P5	ELOCP5
ATP5G2P3	ATP5MC2P3
RP11-600F24.1	RPSAP5
CPEB2-AS1	CPEB2-DT
RP11-430L17.1	RPL22P3
RP11-379B8.1	LINC02542
AC021016.8	CATIP-AS2
RP11-305P22.9	LINC01749
RP11-137L10.5	RPS26P41
RP11-54O7.3	LINC02593
RP1-288M22.2	LINC01626
AC105053.4	ST3GAL5-AS1
C1orf213	ZNF436-AS1
CTC-276P9.1	C5orf66-AS1
RP11-432M8.9	TAF11L12
RP5-1027O11.1	LINC01773
ZNF33AP1	ZNF33CP
ILF3-AS1	ILF3-DT
CTD-2016O11.1	LINC02065
TCEB1P2	ELOCP2
RP11-24I21.1	LINC02355
RP11-722M1.1	LINC02505
CTD-2643I7.1	BGLT3
TXLNG2P	TXLNGY
AL034548.1	ZCCHC3
RP11-327J17.1	LINC02157
RP11-473M20.7	MMP25-AS1
AC145436.1	SERPINE4P
LA16c-321D4.1	RPL23AP86
CTD-2318B16.3	MTND3P13
ADC	AZIN2
RP11-436I9.3	VDAC2P2
LINC00238	CCDC196
RP11-415D17.1	UBE2V1P15
AC108056.1	LINC02264
RP11-245M24.1	LINC01204
AC105761.1	LYARP1
RP11-677N16.1	MORF4L1P3
AC010146.1	SMC4P1
MAGEA9B	MAGEA9
RP1-37N7.3	LINC02076
C17orf62	CYBC1
C6orf100	LINC01556
RP11-282C5.1	LINC02534
RP1-1J6.2	PLCG1-AS1
C19orf45	TEX45
CTD-3193O13.9	PRR36
RP11-59J16.1	LINC01471
AL160471.6	RPSAP13
AL133493.2	LINC01694
RP11-165P7.1	ARNTL2-AS1
KIAA1683	IQCN
RP11-646E18.2	LINC02031
RP11-106M3.1	RPL12P35
AC016739.1	RPSAP25
RP11-632F7.1	ARL4AP2
CTD-2203A3.1	LINC02118
RP11-946L20.2	LINC01608
GPR123-AS1	ADGRA1-AS1
CECR5	HDHD5
RP5-944M2.2	LINC02350
CTD-2143L24.1	LINC02112
CTD-2061E9.1	LINC02103
AC007403.2	LINC01799
RP3-437I16.1	LINC01756
RP11-63H19.5	MTND4LP31
RP11-2N5.1	LINC02215
CTB-175P5.2	CDC42EP3P1
RP11-451G4.1	LINC01487
CTD-3193O13.10	LYPLA2P2
CENPVP1	CENPVL1
CTD-2296D1.5	LINC02142
RP11-781D11.1	EIF1P2
AC003664.1	LINC02093
MED14-AS1	MED14OS
RP11-669N7.3	TMEM132D-AS2
RP11-231C14.4	NPIPB12
RP11-510M2.1	LINC02136
RP11-215H22.1	LINC01616
RP11-382N13.5	SNRPCP20
ATP5LP7	ATP5MGP7
C12orf55	CFAP54
CTD-3001H11.1	BICRA-AS1
RP11-567L7.6	LINC01476
RP11-190I17.4	BOD1P2
RP11-734I18.1	LINC02506
RP5-899B16.1	FILNC1
GPR125	ADGRA3
MTL5	TESMIN
AC113610.1	LINC01817
RP11-425I13.2	NDUFB4P9
RP11-658F2.3	C1QBPP2
RP11-1029J19.5	LINC02320
RP11-136K7.2	LINC02197
DIRC2	SLC49A4
RP11-619L19.2	TCF4-AS2
RP11-367G18.2	RPS27AP11
RP11-428G5.2	RPL12P32
RP13-653N12.1	LINC02369
C11orf83	UQCC3
ATP5A1P6	ATP5F1AP1
AC104654.2	LINC01914
RP11-60I3.5	STX17-AS1
RP11-121L11.3	LINC02162
FAM101A	RFLNA
FAM212B-AS1	INKA2-AS1
C3orf83	MKRN2OS
RP5-1051J4.4	BET1P1
RP11-346D6.4	RPL31P44
RP1-153P14.8	LINC02520
SLMO2P3	PRELID3BP3
RP11-44N21.1	LINC02298
AC009960.2	MTCO2P17
RP11-309H21.2	LINC01680
ADRBK2	GRK3
CTC-534A2.2	SHLD3
RP11-249M12.2	LINC02214
RP11-211N8.7	LINC01189
RP11-401A10.2	PRR13P1
AC005077.12	GTF2IP7
7SK	RN7SKP299
RP11-305O4.1	NDUFS6P1
RP11-3N2.8	MTATP6P18
RP11-403F21.3	TCEA1P3
RP11-204N11.1	LINC02312
RP11-394D2.1	ACTG1P19
