Gene,MGI Phenotypes,MGI Essential,MGI Seizure
UBE2Q1,MP:0001935;MP:0008976;MP:0005121;MP:0001382;MP:0001377;MP:0003718;MP:0011103;MP:0009011,1,0
RNF17,MP:0001147;MP:0001155;MP:0005159;MP:0001153;MP:0001925,0,0
RNF10,MP:0013678;MP:0002874;MP:0001262;MP:0008040;MP:0001556;MP:0000558;MP:0001303;MP:0004953;MP:0003382;MP:0005633;MP:0003019;MP:0000280;MP:0010124;MP:0000063;MP:0005599;MP:0005642;MP:0005179;MP:0010123;MP:0001401;MP:0005554;MP:0002110;MP:0005333;MP:0011275;MP:0002574;MP:0005178;MP:0002644;MP:0002764;MP:0008044;MP:0000689;MP:0011396;MP:0011967;MP:0001552;MP:0011965;MP:0003795;MP:0000274;MP:0001258;MP:0001402;MP:0008181;MP:0001260;MP:0004924;MP:0002966;MP:0002591;MP:0000947;MP:0005567;MP:0003960;MP:0005292;MP:0003961;MP:0005419;MP:0005560;MP:0010053;MP:0011110;MP:0001399;MP:0005543;MP:0009142;MP:0005553;MP:0010097;MP:0000186;MP:0001513;MP:0010025,1,1
RNF13,MP:0012000;MP:0000556;MP:0001325;MP:0011396,0,0
REM2,MP:0001935;MP:0004998;MP:0008770;MP:0001389;MP:0000805;MP:0002206;MP:0005402;MP:0020506;MP:0009435;MP:0004753,0,0
DUOXA2,MP:0000559;MP:0005298;MP:0005011;MP:0005296;MP:0005017;MP:0005015;MP:0000552;MP:0012768;MP:0013294;MP:0013429;MP:0000438;MP:0008347;MP:0012764;MP:0000558;MP:0005270;MP:0010168;MP:0003345;MP:0008045;MP:0000219;MP:0002932;MP:0005108;MP:0000137;MP:0008211;MP:0013771;MP:0013026;MP:0013436;MP:0013022;MP:0013418;MP:0003047;MP:0010099;MP:0002169;MP:0013417;MP:0000223;MP:0008074;MP:0001539;MP:0008078;MP:0004599,1,0
CSNK2A2,MP:0009232;MP:0009231;MP:0009230;MP:0009237;MP:0008280;MP:0005578;MP:0002674;MP:0006380;MP:0002687;MP:0002686;MP:0001925,0,0
ATRX,MP:0001262;MP:0011098;MP:0002084;MP:0009454;MP:0011101;MP:0000266;MP:0001473,1,0
PMM2,MP:0001262;MP:0001265;MP:0005012;MP:0002092;MP:0005033;MP:0013292;MP:0013293;MP:0004261;MP:0004756;MP:0004703;MP:0000160;MP:0010725;MP:0011352;MP:0005621;MP:0001914;MP:0003718;MP:0011101;MP:0004144;MP:0003984;MP:0002607;MP:0000702;MP:0009050;MP:0001258;MP:0011098;MP:0002085;MP:0000278;MP:0002086;MP:0011092;MP:0002083;MP:0011091;MP:0012325;MP:0005565;MP:0014045;MP:0011260;MP:0005329;MP:0004701;MP:0002169;MP:0009642;MP:0030387;MP:0000280,1,0
PMM1,MP:0002169,0,0
ASS1,MP:0001265;MP:0011087;MP:0001242;MP:0000414;MP:0000416;MP:0001222;MP:0005311;MP:0009977;MP:0002175;MP:0000886;MP:0000377;MP:0003674;MP:0001406;MP:0001258;MP:0010387;MP:0002083;MP:0002082;MP:0001211;MP:0000745;MP:0000422;MP:0005584;MP:0005309;MP:0000872;MP:0003704;MP:0001394;MP:0020836;MP:0002169;MP:0030662,1,0
FHIT,MP:0012431;MP:0004499;MP:0002014;MP:0000334;MP:0002406;MP:0000496;MP:0002083;MP:0000414;MP:0003331;MP:0002023;MP:0002020,0,0
CBX3,MP:0011086;MP:0001156;MP:0001147;MP:0002216;MP:0002687;MP:0001925;MP:0001924,1,0
DISC1,MP:0012347;MP:0001262;MP:0001577;MP:0001265;MP:0008428;MP:0001364;MP:0001360;MP:0001363;MP:0002207;MP:0006254;MP:0000774;MP:0020527;MP:0010067;MP:0002797;MP:0004000;MP:0006299;MP:0001463;MP:0002915;MP:0002874;MP:0001423;MP:0001488;MP:0001489;MP:0003088;MP:0010070;MP:0010698;MP:0002063;MP:0006300;MP:0009141;MP:0008911;MP:0001399;MP:0000852;MP:0003461;MP:0009453;MP:0009745;MP:0009142;MP:0002757;MP:0002557;MP:0001415;MP:0002573;MP:0001417;MP:0001473,0,0
CAMK1,MP:0013278;MP:0002965;MP:0003019;MP:0003049,0,0
COPRS,MP:0009118;MP:0011168;MP:0009131;MP:0009305;MP:0005670,0,0
CAMK4,MP:0001262;MP:0001364;MP:0004852;MP:0005578;MP:0001154;MP:0001119;MP:0001134;MP:0002169;MP:0002687;MP:0001131;MP:0008869;MP:0001935;MP:0009712;MP:0000062;MP:0001932;MP:0001919;MP:0000880;MP:0002910;MP:0002915;MP:0001405;MP:0008892;MP:0009230;MP:0001402;MP:0002083;MP:0001145;MP:0000745;MP:0001929;MP:0004901;MP:0010875;MP:0001923;MP:0002998;MP:0009433;MP:0001925;MP:0003313;MP:0002063;MP:0004924;MP:0004985;MP:0000877;MP:0002160;MP:0009456;MP:0009454;MP:0008396;MP:0001393;MP:0002757;MP:0001155;MP:0002945;MP:0008572;MP:0001475;MP:0006380;MP:0001982;MP:0001513,0,0
ZNF704,MP:0002644;MP:0002169,0,0
RNF112,MP:0002920;MP:0001919;MP:0004753;MP:0000774;MP:0009936,0,0
ZC3H14,MP:0001935;MP:0001147;MP:0008535;MP:0008428,0,0
SPN,MP:0002052;MP:0002444;MP:0004800;MP:0005348,0,0
GRIN1,MP:0020157;MP:0001575;MP:0001262;MP:0001399;MP:0011089;MP:0001436;MP:0011085;MP:0001438;MP:0011087;MP:0011086;MP:0001361;MP:0001360;MP:0001435;MP:0001177;MP:0011090;MP:0002887;MP:0002886;MP:0001732;MP:0004811;MP:0001065;MP:0001957;MP:0001954;MP:0001393;MP:0004753;MP:0002888;MP:0001951;MP:0001380;MP:0005277;MP:0001386;MP:0001385;MP:0001384;MP:0003179;MP:0005449;MP:0008236;MP:0004000;MP:0002169;MP:0003633;MP:0001447;MP:0001448;MP:0001523;MP:0001463;MP:0009546;MP:0001405;MP:0001183;MP:0001182;MP:0001402;MP:0005572;MP:0001408;MP:0002083;MP:0001488;MP:0009327;MP:0001922;MP:0001362;MP:0001943;MP:0003863;MP:0001901;MP:0011003;MP:0002066;MP:0008872;MP:0009745;MP:0003545;MP:0001392;MP:0009142;MP:0002757;MP:0002557;MP:0002272;MP:0003546;MP:0002805;MP:0001415;MP:0001473,1,0
DHX9,MP:0003895;MP:0001675;MP:0005030;MP:0011096;MP:0011091;MP:0005032;MP:0001672;MP:0011186;MP:0011187;MP:0013504;MP:0001695;MP:0012105;MP:0001683;MP:0002230,1,0
TCOF1,MP:0009902;MP:0010940;MP:0000455;MP:0000457;MP:0005274;MP:0012706;MP:0011087;MP:0000435;MP:0000440;MP:0004873;MP:0012701;MP:0004871;MP:0000024;MP:0003935;MP:0000102;MP:0004837;MP:0001065;MP:0001081;MP:0000438;MP:0000929;MP:0001953;MP:0030084;MP:0003735;MP:0002177;MP:0004570;MP:0002116;MP:0000962;MP:0000091;MP:0004469;MP:0004188;MP:0030124;MP:0009886;MP:0009887;MP:0030250;MP:0003984;MP:0030377;MP:0030060;MP:0000097;MP:0002621;MP:0000428;MP:0004282;MP:0013267;MP:0001954;MP:0005272;MP:0012757;MP:0004869;MP:0001270;MP:0005105;MP:0004424;MP:0004419;MP:0002820;MP:0000460;MP:0006294;MP:0003104;MP:0000111;MP:0004475;MP:0000030;MP:0003864;MP:0000914;MP:0005657;MP:0000783;MP:0001093;MP:0000074;MP:0012760;MP:0004872;MP:0005249;MP:0000433;MP:0000103;MP:0001293;MP:0003232;MP:0004726;MP:0004310;MP:0000107;MP:0009843;MP:0002237;MP:0004383;MP:0012523;MP:0013351;MP:0004592;MP:0012505;MP:0004376;MP:0009903;MP:0000088,1,0
NSRP1,MP:0011092,1,0
NUP98,MP:0005040;MP:0005042;MP:0011089;MP:0005095;MP:0001672;MP:0005348;MP:0005017;MP:0001805;MP:0008495;MP:0001698;MP:0008075;MP:0001695;MP:0001839,1,0
XPC,MP:0002048;MP:0008014;MP:0005621;MP:0008410;MP:0001203;MP:0001999;MP:0001222;MP:0002027;MP:0000377;MP:0003674;MP:0004501,0,0
SP1,MP:0008973;MP:0001265;MP:0011098;MP:0002085;MP:0001293;MP:0001698,1,0
GRINA,MP:0002169,0,0
