Gene,MGI Phenotypes,MGI Essential,MGI Seizure,Wang;Blomen;Hart
A1CF,MP:0005140;MP:0011094;MP:0005329;MP:0000352;MP:0002795,N,0,N;N;N
A2M,MP:0008806;MP:0001654;MP:0000599;MP:0010182;MP:0002830;MP:0002628;MP:0003829;MP:0001402;MP:0011886;MP:0005584;MP:0003009;MP:0004761;MP:0009145;MP:0009146;MP:0002169;MP:0000341;MP:0009763;MP:0001869;MP:0009764;MP:0001860;MP:0008713;MP:0003849;MP:0001511,N,0,N;N;N
A4GALT,MP:0009747;MP:0009767;MP:0008874,N,0,N;N;N
A4GNT,MP:0008010;MP:0005601;MP:0005493;MP:0000351;MP:0010792;MP:0001873;MP:0003721;MP:0001663,N,0,N;N;N
AAAS,MP:0001516;MP:0001262;MP:0001417;MP:0001926;MP:0001402,N,0,N;N;N
AADAT,MP:0002862;MP:0001525;MP:0003153;MP:0001399;MP:0002882,N,0,N;N;N
AAMP,N/A,Y,N/A,Y;Y;Y
AANAT,MP:0011728;MP:0011729,N,0,N;N;N
AARS,MP:0001262;MP:0001265;MP:0002190;MP:0000414;MP:0004088;MP:0013292;MP:0000280;MP:0010688;MP:0005598;MP:0000418;MP:0005608;MP:0001525;MP:0003413;MP:0001544;MP:0000278;MP:0003393;MP:0000745;MP:0003141;MP:0002188;MP:0003809;MP:0000876;MP:0004215;MP:0006035;MP:0001393;MP:0008260;MP:0001511,Y,0,Y;Y;Y
AARS2,MP:0004357;MP:0011100;MP:0003921;MP:0002753,N,0,Y;N;Y
AASDHPPT,N/A,Y,N/A,Y;Y;Y
AATF,MP:0012111;MP:0001730;MP:0011094;MP:0001698;MP:0002663;MP:0012129;MP:0000358;MP:0009781;MP:0000352,Y,0,Y;Y;Y
AATK,MP:0008415;MP:0005404;MP:0000774;MP:0004768,N,0,N;N;N
