chromosome	OFFSPRING GENDER	offspring genotype	offspring coverage	mom genotype	mom coverage	dad genotype	dad coverage	FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HET	>=10	HET	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HET	>=10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HET	>=10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HOM-VAR	>=10	HET	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HOM-VAR	>=10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HOM-VAR	>=10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HOM-REF	>=10	HET	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HOM-REF	>=10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HOM-REF	>=10	HOM-REF	>=10	DE NOVO
AUTOSOME	MALE OR FEMALE	HET	NA	HET	<10	HET	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HET	<10	HOM-VAR	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HET	<10	HOM-REF	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HOM-VAR	<10	HET	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HOM-VAR	<10	HOM-VAR	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HOM-VAR	<10	HOM-REF	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HOM-REF	<10	HET	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HOM-REF	<10	HOM-VAR	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HOM-REF	<10	HOM-REF	<10	POSSIBLY DE NOVO
AUTOSOME	MALE OR FEMALE	HET	NA	HET	<10	HET	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HET	<10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HET	<10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HOM-VAR	<10	HET	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HOM-VAR	<10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HOM-VAR	<10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HOM-REF	<10	HET	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HOM-REF	<10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HOM-REF	<10	HOM-REF	>=10	POSSIBLY DE NOVO
AUTOSOME	MALE OR FEMALE	HET	NA	HET	>=10	HET	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HET	>=10	HOM-VAR	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HET	>=10	HOM-REF	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HOM-VAR	>=10	HET	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HOM-VAR	>=10	HOM-VAR	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HOM-VAR	>=10	HOM-REF	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HOM-REF	>=10	HET	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HOM-REF	>=10	HOM-VAR	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	HET	NA	HOM-REF	>=10	HOM-REF	<10	POSSIBLY DE NOVO
AUTOSOME	MALE OR FEMALE	HOM-VAR	>=10	HET	<10	HET	<10	NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	HOM-VAR	>=10	HET	<10	HOM-VAR	<10	POSSIBLY NEWLY HOMOZYGOUS
