chromosome	OFFSPRING GENDER	ref allele major	offspring genotype	offspring coverage	mom genotype	mom coverage	dad genotype	dad coverage	FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HET	>=10	HET	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HET	>=10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HET	>=10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HOM-VAR	>=10	HET	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HOM-VAR	>=10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HOM-VAR	>=10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HOM-REF	>=10	HET	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HOM-REF	>=10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HOM-REF	>=10	HOM-REF	>=10	DE NOVO
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HET	>=10	HET	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HET	>=10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HET	>=10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HOM-VAR	>=10	HET	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HOM-VAR	>=10	HOM-VAR	>=10	"DE NOVO; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HOM-VAR	>=10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HOM-REF	>=10	HET	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HOM-REF	>=10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HOM-REF	>=10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HET	<10	HET	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HET	<10	HOM-VAR	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HET	<10	HOM-REF	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HOM-VAR	<10	HET	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HOM-VAR	<10	HOM-VAR	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HOM-VAR	<10	HOM-REF	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HOM-REF	<10	HET	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HOM-REF	<10	HOM-VAR	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HOM-REF	<10	HOM-REF	<10	POSSIBLY DE NOVO
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HET	<10	HET	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HET	<10	HOM-VAR	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HET	<10	HOM-REF	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HOM-VAR	<10	HET	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HOM-VAR	<10	HOM-VAR	<10	"POSSIBLY DE NOVO; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HOM-VAR	<10	HOM-REF	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HOM-REF	<10	HET	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HOM-REF	<10	HOM-VAR	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HOM-REF	<10	HOM-REF	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HET	<10	HET	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HET	<10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HET	<10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HOM-VAR	<10	HET	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HOM-VAR	<10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HOM-VAR	<10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HOM-REF	<10	HET	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HOM-REF	<10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HOM-REF	<10	HOM-REF	>=10	POSSIBLY DE NOVO
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HET	<10	HET	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HET	<10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HET	<10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HOM-VAR	<10	HET	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HOM-VAR	<10	HOM-VAR	>=10	"POSSIBLY DE NOVO; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HOM-VAR	<10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HOM-REF	<10	HET	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HOM-REF	<10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HOM-REF	<10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HET	>=10	HET	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HET	>=10	HOM-VAR	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HET	>=10	HOM-REF	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HOM-VAR	>=10	HET	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HOM-VAR	>=10	HOM-VAR	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HOM-VAR	>=10	HOM-REF	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HOM-REF	>=10	HET	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HOM-REF	>=10	HOM-VAR	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HET	NA	HOM-REF	>=10	HOM-REF	<10	POSSIBLY DE NOVO
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HET	>=10	HET	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HET	>=10	HOM-VAR	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HET	>=10	HOM-REF	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HOM-VAR	>=10	HET	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HOM-VAR	>=10	HOM-VAR	<10	"POSSIBLY DE NOVO; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HOM-VAR	>=10	HOM-REF	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HOM-REF	>=10	HET	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HOM-REF	>=10	HOM-VAR	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HET	NA	HOM-REF	>=10	HOM-REF	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HET	>=10	HET	>=10	"NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HET	>=10	HOM-VAR	>=10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HET	>=10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HOM-VAR	>=10	HET	>=10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HOM-VAR	>=10	HOM-VAR	>=10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HOM-VAR	>=10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HOM-REF	>=10	HET	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HOM-REF	>=10	HOM-VAR	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HOM-REF	>=10	HOM-REF	>=10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HET	>=10	HET	<10	"NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HET	>=10	HOM-VAR	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HET	>=10	HOM-REF	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HOM-VAR	>=10	HET	<10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HOM-VAR	>=10	HOM-VAR	<10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HOM-VAR	>=10	HOM-REF	<10	"UNLIKELY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HOM-REF	>=10	HET	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HOM-REF	>=10	HOM-VAR	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HOM-REF	>=10	HOM-REF	<10	NO FLAG
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HET	<10	HET	<10	NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HET	<10	HOM-VAR	<10	POSSIBLY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HET	<10	HOM-REF	<10	POSSIBLY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HOM-VAR	<10	HET	<10	POSSIBLY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HOM-VAR	<10	HOM-VAR	<10	POSSIBLY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HOM-VAR	<10	HOM-REF	<10	POSSIBLY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HOM-REF	<10	HET	<10	POSSIBLY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HOM-REF	<10	HOM-VAR	<10	POSSIBLY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	YES	HOM-VAR	>=10	HOM-REF	<10	HOM-REF	<10	POSSIBLY NEWLY HOMOZYGOUS
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HET	<10	HET	<10	"NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HET	<10	HOM-VAR	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HET	<10	HOM-REF	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
AUTOSOME	MALE OR FEMALE	NO	HOM-REF	>=10	HOM-VAR	<10	HET	<10	"POSSIBLY NEWLY HOMOZYGOUS; IN REF"
