gene,pLI,oe_lof_upper,mis_z,oe_lof_upper_bin,obs_hom_lof
MED13,1.00E+00,3.00E-02,2.62E+00,0,0
NIPBL,1.00E+00,3.20E-02,5.57E+00,0,0
SMC3,1.00E+00,3.70E-02,6.40E+00,0,0
CNOT1,1.00E+00,3.80E-02,7.25E+00,0,0
RLF,1.00E+00,4.00E-02,3.46E+00,0,0
PCF11,1.00E+00,4.00E-02,2.66E+00,0,0
FNDC3B,1.00E+00,4.20E-02,1.87E+00,0,0
TAF1,1.00E+00,4.30E-02,5.49E+00,0,3
RSF1,1.00E+00,4.40E-02,1.77E+00,0,0
NCKAP1,1.00E+00,4.40E-02,4.27E+00,0,0
KDM2A,1.00E+00,4.50E-02,5.31E+00,0,0
BRD4,1.00E+00,4.80E-02,3.59E+00,0,0
HELZ,1.00E+00,4.80E-02,3.30E+00,0,0
FBN1,1.00E+00,4.90E-02,5.06E+00,0,0
XPO1,1.00E+00,5.10E-02,6.01E+00,0,0
PRR12,1.00E+00,5.10E-02,2.98E+00,0,0
USP9X,1.00E+00,5.10E-02,6.41E+00,0,4
POLA1,1.00E+00,5.10E-02,1.99E+00,0,0
SYNGAP1,1.00E+00,5.20E-02,5.60E+00,0,0
PRKDC,1.00E+00,5.20E-02,2.76E+00,0,122762
HDAC4,1.00E+00,5.20E-02,2.93E+00,0,0
SMG1,1.00E+00,5.30E-02,3.30E+00,0,0
ZC3H4,1.00E+00,5.40E-02,6.56E-01,0,0
COL5A1,1.00E+00,5.50E-02,2.07E+00,0,0
SMARCA4,1.00E+00,5.50E-02,6.85E+00,0,0
TNPO1,1.00E+00,5.60E-02,4.33E+00,0,0
AGO1,1.00E+00,5.70E-02,5.68E+00,0,0
ARHGAP35,1.00E+00,5.70E-02,4.16E+00,0,0
LRP1,1.00E+00,5.80E-02,8.25E+00,0,0
TOP1,1.00E+00,5.90E-02,4.47E+00,0,0
TRIP12,1.00E+00,6.00E-02,4.64E+00,0,0
KMT2E,1.00E+00,6.00E-02,1.42E+00,0,0
HCFC1,1.00E+00,6.00E-02,5.63E+00,0,0
UBTF,1.00E+00,6.00E-02,4.75E+00,0,0
HUWE1,1.00E+00,6.00E-02,8.87E+00,0,0
