Gene,IGM-Roche-Avg%GeneCov,0.1%RVIS[EVS],0.1%RVIS%[EVS],EdgeCase[EVS],OEratio%tile[EVS],GenicConstraint[EVS],1.0%ncRVIS[IGM],1.0%ncRVIS%tile[IGM],ncGERP,ncGERP%tile,pcGERP,pcGERP%tile,0.05%_anypopn_RVIS[ExAC],0.05%_anypopn_RVIS%tile[ExAC],OEratio%tile[ExAC],GenicConstraint_mis-z[ExAC],GenicConstraint_mis-z%tile[ExAC],LoF-FDRLoF[EVS],LoF-pLI[ExAC],LoF-pRec[ExAC],LoF-pNull[ExAC]
SAMD11,0.701273,NA,NA,NA,NA,92.64,NA,NA,-0.845519879,88.8470078,1.684690214,73.90625,2.274410941,98.9036805,76.45464602,-3.786195942,99.48971193,NA,1.35E-10,0.183700006,0.816299993
NOC2L,0.994757,0.04,56.26916726,N,59.16646591,89.16,NA,NA,-0.980659052,92.59048898,1.697539723,73.68534483,0.231569638,65.47195952,41.86946903,-2.275891885,97.01508916,0.4212717,1.33E-19,0.002562842,0.997437158
PLEKHN1,0.867611,0.9,89.32531257,N,70.47097085,99.59,0.292094009,72.3293222,-1.436252055,98.23927299,1.273605217,81.06681034,1.879999506,97.96397807,82.86504425,-3.328941566,99.17146776,0.1427251,2.02E-08,0.659994782,0.340005198
HES4,0.566047,NA,NA,NA,NA,72.96,NA,NA,-0.447191347,72.55641039,0.711894088,87.34913793,NA,NA,51.70353982,1.800964465,24.07133059,NA,0.000147943,0.245981534,0.753870523
ISG15,1,-0.12,45.12856806,N,87.77403035,88.09,0.191885349,67.65717092,-1.255712876,96.88645634,0.083188636,92.79633621,0.410434686,74.54370219,74.4800885,0.21278581,57.50342936,0.6223731,0.009847813,0.600249313,0.389902874
C1orf159,0.999393,-0.23,37.11370606,Y,84.81691159,99.79,0.392022022,76.25859528,-0.851951843,89.05870811,1.222745469,81.83728448,NA,NA,49.45243363,-0.419915665,74.50754458,0.5434521,0.090877636,0.76569141,0.143430953
TTLL10,0.725495,3.27,99.39844303,N,78.40881715,92.02,0.70498402,85.03806483,-0.665286151,82.53730573,0.770631427,86.77801724,NA,NA,81.15597345,-1.574109407,93.24005487,0.7165946,1.95E-05,0.463280449,0.536700077
TNFRSF18,0.803636,NA,NA,NA,NA,66.62,0.062966425,60.68885069,-0.525469939,76.53224557,-0.116055546,94.61206897,1.24272779,94.1569785,82.9590708,-1.35382095,91.16049383,NA,8.37E-07,0.089996444,0.91000272
TNFRSF4,0.819437,NA,NA,NA,NA,34.01,-0.213213115,42.1598723,-0.358228601,67.73893737,0.221676827,91.73491379,0.691137693,84.63947955,46.34955752,-0.095087344,65.739369,NA,0.00720933,0.767863756,0.224926914
SDF4,0.993074,-0.6,18.13517339,N,13.40640809,28.87,NA,NA,-0.808770703,87.6904012,1.907335476,69.34267241,0.500554195,78.2482983,48.09734513,1.233240631,33.84910837,0.08482275,0.001309827,0.858724277,0.139965896
B3GALT6,0.032005,NA,NA,NA,NA,33.43,-0.200408566,43.01940079,-0.657512457,82.25848092,1.867036046,70.24784483,NA,NA,31.11725664,3.209371442,7.92866941,NA,0.048104466,0.682101787,0.269793747
