GENE	ALL_0.01%	%ALL_0.01%	ALL_0.1%	%ALL_0.1%	ALL_1%	%ALL_1%	PP2_ALL_0.1%	%PP2_ALL_0.1%	EA_0.1%	%EA_0.1%	EA_1%	%EA_1%	AA_0.1%	%AA_0.1%	AA_1%	%AA_1%	OEratioPercentile	EdgeCase
A1BG	-0.35	29.49	-0.47	23.51	-0.01	48.78	-0.4	22.41	-0.1	47.36	0	59.84	-0.4	25.82	-0.29	33.93	62.01517707	N
A1CF	-0.29	33.48	-0.38	28.01	-1.31	5.96	-0.33	25.93	-0.81	12.54	-0.74	11.96	-0.52	21.12	-0.04	54.08	14.03878583	N
A2M	-0.84	9.39	0.1	60.76	0.06	53.79	-0.87	8.89	-1.46	3.7	-0.57	17.28	1.17	92.81	-1.01	7.15	75.45772103	N
A2ML1	2.83	98.91	2.42	98.53	2.44	98.82	0.7	89.21	0.06	58.85	0.06	64.26	2.81	99.2	2.84	98.88	76.13225729	N
A4GALT	0.17	70.21	-0.29	33.34	-0.42	25.62	-0.55	16.35	-0.51	22.35	-0.02	57.92	-0.18	38.03	0.4	78.24	47.31390026	N
A4GNT	0.29	75.08	1.11	92.04	0.49	77.35	0.74	90.01	1.03	91.12	0.53	82.91	0.5	79.03	0.52	81.96	49.40978078	N
AAAS	-0.74	11.95	-0.91	9.96	-0.22	35.46	-0.36	24.13	-1.09	7.4	-0.68	14.01	-0.76	13.71	-0.43	24.92	37.966755	N
AACS	-0.56	17.99	-1.17	6.04	-1.17	7.38	-1.4	3.63	-1.68	2.7	-0.77	11.03	-0.86	11.48	-0.74	12.87	18.11009395	N
AADAC	-0.11	49.14	-0.09	46.92	-0.05	45.91	0.18	64.93	0.1	61.42	0.12	68.73	-0.08	44.23	0.08	63.86	46.81402072	N
AADACL2	-0.08	51.94	-0.31	31.93	0.03	51.59	-0.38	23.02	0.31	72.39	0.02	61.88	-0.01	50.36	0.44	79.63	76.27680077	N
AADACL3	1.41	94.54	2.13	97.92	1.47	95.84	0.59	86.31	1.21	93.06	1.46	94.94	2.62	99.03	1.85	96.61	62.9005059	N
AADACL4	-0.71	12.76	-0.62	17.32	-0.14	40.45	-0.04	45.79	-0.3	33.22	-0.66	14.26	-0.56	19.5	-0.84	10.3	59.91929656	N
AADAT	-0.22	39.8	-0.12	44.89	-0.52	21.53	-0.05	45.37	0.16	64.82	-0.13	49.82	0.04	53.75	-0.3	33.66	15.05661286	Y
AAED1	0.24	72.99	0.17	65.56	0.19	62.24	0.27	72.76	0.5	79.81	-0.15	47.68	-0.12	42.85	0.15	68.34	82.45001205	Y
AAGAB	-0.19	41.28	0.02	55.61	0	49.33	-0.5	18.14	-0.13	44.96	-0.02	57.92	0.39	74.94	0.23	71.94	88.17754758	N
AAK1	-0.07	52.94	-0.66	15.91	-0.52	21.44	-0.26	29.98	0.67	84.14	-0.24	38.63	-0.21	36.83	-0.32	32.05	12.44880752	N
